# Arch_Idx, NASWOT, logSynflow, PortionSkipped
0.000000000000000000e+00 6.498145751953125000e+02 2.503813946806282038e+05 3.333333333333333148e-01
1.000000000000000000e+00 6.937260742187500000e+02 1.410934949084893335e+06 1.000000000000000000e+00
2.000000000000000000e+00 6.420612182617187500e+02 7.018877227899815189e+05 0.000000000000000000e+00
3.000000000000000000e+00 5.316563110351562500e+02 2.227744685980810755e+04 5.000000000000000000e-01
4.000000000000000000e+00 6.582692871093750000e+02 3.021919089857033687e+05 1.000000000000000000e+00
5.000000000000000000e+00 6.896043701171875000e+02 6.079792745932816761e+05 1.000000000000000000e+00
6.000000000000000000e+00 6.675476074218750000e+02 1.042677231766302837e+06 0.000000000000000000e+00
7.000000000000000000e+00 6.279166259765625000e+02 4.133060364295591135e+05 1.500000000000000000e+00
8.000000000000000000e+00 6.676063842773437500e+02 6.035426183001733152e+05 1.000000000000000000e+00
9.000000000000000000e+00 5.361181640625000000e+02 1.004753411412531277e+05 2.000000000000000000e+00
1.000000000000000000e+01 5.417213134765625000e+02 2.706263554758847458e+05 0.000000000000000000e+00
1.100000000000000000e+01 6.888740234375000000e+02 1.407177080815853318e+06 0.000000000000000000e+00
1.200000000000000000e+01 -inf 1.136269202953420172e+05 0.000000000000000000e+00
1.300000000000000000e+01 6.710058593750000000e+02 4.661185089757727110e+05 0.000000000000000000e+00
1.400000000000000000e+01 6.960007934570312500e+02 4.236290934874619124e+05 0.000000000000000000e+00
1.500000000000000000e+01 5.055366821289062500e+02 6.400688735161317163e+04 6.666666666666666297e-01
1.600000000000000000e+01 6.695305175781250000e+02 9.919498945635713171e+05 1.000000000000000000e+00
1.700000000000000000e+01 6.888731689453125000e+02 4.070239354264138383e+05 1.000000000000000000e+00
1.800000000000000000e+01 6.846074218750000000e+02 9.543881968139790697e+05 1.000000000000000000e+00
1.900000000000000000e+01 6.876280517578125000e+02 4.385293411308736540e+05 0.000000000000000000e+00
2.000000000000000000e+01 6.239404296875000000e+02 4.115947540135586751e+05 2.000000000000000000e+00
2.100000000000000000e+01 7.001121215820312500e+02 6.773652257079991978e+05 0.000000000000000000e+00
2.200000000000000000e+01 6.610152587890625000e+02 4.551177977154126856e+05 0.000000000000000000e+00
2.300000000000000000e+01 6.846001586914062500e+02 1.078834108083568979e+06 0.000000000000000000e+00
2.400000000000000000e+01 6.139350585937500000e+02 1.454777850369248772e+05 6.666666666666666297e-01
2.500000000000000000e+01 5.330710449218750000e+02 2.211778194283653647e+04 0.000000000000000000e+00
2.600000000000000000e+01 7.165029296875000000e+02 5.151925981651242473e+05 0.000000000000000000e+00
2.700000000000000000e+01 6.934304809570312500e+02 2.467747927403585345e+05 1.000000000000000000e+00
2.800000000000000000e+01 6.140557861328125000e+02 1.770902376990754274e+05 6.666666666666666297e-01
