# ArchitectureIdx, Test-Accuracy, TrainingTime(xEpoch), TrainingTime(total)
0.000000000000000000e+00 5.280666666666667197e+01 1.444218599796295166e+01 2.888437199592590332e+03
1.000000000000000000e+00 7.006000000000000227e+01 2.169641375541687012e+01 4.339282751083374023e+03
2.000000000000000000e+00 5.458333333333333570e+01 2.267177677154541016e+01 4.534355354309082031e+03
3.000000000000000000e+00 5.785999999999999233e+01 8.330489873886108398e+00 1.666097974777221680e+03
4.000000000000000000e+00 5.985333333333333172e+01 1.296859812736511053e+01 2.593719625473022006e+03
5.000000000000000000e+00 6.626333333333333542e+01 1.992486000061035156e+01 3.984972000122070312e+03
6.000000000000000000e+00 6.850666666666666060e+01 2.257075703144073486e+01 4.514151406288146973e+03
7.000000000000000000e+00 6.732333333333333769e+01 1.741152735551198205e+01 3.482305471102405590e+03
8.000000000000000000e+00 6.806333333333333258e+01 1.641038036346435547e+01 3.282076072692871094e+03
9.000000000000000000e+00 5.795000000000000995e+01 1.307972637812296490e+01 2.615945275624591432e+03
1.000000000000000000e+01 1.000000000000000000e+00 2.047591463724772254e+01 4.095182927449532144e+03
1.100000000000000000e+01 6.753000000000001535e+01 2.492411359151204309e+01 4.984822718302408248e+03
1.200000000000000000e+01 1.000000000000000000e+00 1.331741654872894287e+01 2.663483309745788574e+03
1.300000000000000000e+01 6.755333333333332746e+01 2.025883781909942627e+01 4.051767563819885254e+03
1.400000000000000000e+01 6.711333333333332973e+01 1.967797593275706092e+01 3.935595186551401184e+03
1.500000000000000000e+01 3.213333333333333286e+01 9.257347901662191347e+00 1.851469580332432997e+03
1.600000000000000000e+01 6.905333333333332746e+01 1.522899214426676373e+01 3.045798428853346650e+03
1.700000000000000000e+01 6.436333333333332973e+01 1.847986872990925988e+01 3.695973745981862521e+03
1.800000000000000000e+01 6.486666666666666003e+01 2.320023294289906701e+01 4.640046588579817580e+03
1.900000000000000000e+01 6.175999999999999801e+01 2.281782495975494385e+01 4.563564991950988770e+03
2.000000000000000000e+01 6.402333333333332632e+01 2.002243538697560510e+01 4.004487077395132928e+03
2.100000000000000000e+01 6.918333333333333712e+01 1.852491184075673303e+01 3.704982368151357150e+03
2.200000000000000000e+01 6.326333333333332831e+01 2.056306004524230957e+01 4.112612009048461914e+03
2.300000000000000000e+01 6.304666666666667396e+01 2.369079458713531494e+01 4.738158917427062988e+03
2.400000000000000000e+01 5.476333333333332831e+01 1.110129344463348389e+01 2.220258688926696777e+03
2.500000000000000000e+01 5.785333333333333172e+01 6.289364059766133330e+00 1.257872811953226346e+03
2.600000000000000000e+01 6.575666666666666060e+01 2.274954243501027307e+01 4.549908487002059701e+03
2.700000000000000000e+01 6.479000000000000625e+01 1.931605954964955529e+01 3.863211909929922058e+03
2.800000000000000000e+01 5.355333333333333456e+01 1.270887418588002582e+01 2.541774837176005803e+03
2.900000000000000000e+01 6.163666666666666316e+01 1.712651145458221436e+01 3.425302290916442871e+03
3.000000000000000000e+01 6.699666666666666970e+01 1.107333171367645264e+01 2.214666342735290527e+03
3.100000000000000000e+01 6.525333333333333030e+01 1.786352499326070031e+01 3.572704998652150152e+03
3.200000000000000000e+01 6.794666666666665833e+01 1.414896611372629742e+01 2.829793222745256116e+03
3.300000000000000000e+01 6.831000000000000227e+01 2.022302560011545935e+01 4.044605120023079962e+03
3.400000000000000000e+01 6.732000000000000739e+01 1.667035273710886756e+01 3.334070547421765241e+03
3.500000000000000000e+01 6.675000000000000000e+01 1.666589570045471191e+01 3.333179140090942383e+03
3.600000000000000000e+01 6.542333333333333201e+01 2.305561816692352295e+01 4.611123633384704590e+03
3.700000000000000000e+01 6.489999999999999147e+01 1.113079531987508197e+01 2.226159063975013396e+03
3.800000000000000000e+01 6.832333333333333769e+01 2.139663902918497840e+01 4.279327805836986045e+03
3.900000000000000000e+01 6.415333333333332178e+01 1.325600127379099469e+01 2.651200254758196934e+03
4.000000000000000000e+01 4.656666666666666288e+01 1.615917686621348182e+01 3.231835373242689002e+03
4.100000000000000000e+01 6.196333333333333115e+01 1.855544896920521936e+01 3.711089793841054416e+03
4.200000000000000000e+01 7.031000000000000227e+01 1.945458169778187951e+01 3.890916339556386902e+03
4.300000000000000000e+01 6.733999999999998920e+01 2.042708973089854041e+01 4.085417946179695718e+03
4.400000000000000000e+01 4.727333333333333343e+01 1.291439243157704908e+01 2.582878486315411010e+03
4.500000000000000000e+01 6.396666666666666146e+01 9.703409353892007871e+00 1.940681870778407074e+03
4.600000000000000000e+01 6.553666666666667595e+01 2.188012977441151818e+01 4.376025954882311453e+03
4.700000000000000000e+01 6.567000000000000171e+01 1.910783457756042480e+01 3.821566915512084961e+03
4.800000000000000000e+01 5.733666666666666600e+01 1.159668517112731934e+01 2.319337034225463867e+03
4.900000000000000000e+01 6.564000000000000057e+01 1.605894521872202674e+01 3.211789043744397986e+03
5.000000000000000000e+01 7.004666666666666686e+01 2.650508292516072473e+01 5.301016585032140938e+03
5.100000000000000000e+01 6.203000000000000114e+01 1.639672466119130334e+01 3.279344932238268029e+03
5.200000000000000000e+01 7.002666666666665662e+01 2.325752778848012170e+01 4.651505557696028518e+03
5.300000000000000000e+01 1.064000000000000057e+01 1.075437033176422119e+01 2.150874066352844238e+03
5.400000000000000000e+01 6.567333333333333201e+01 2.081286680698394775e+01 4.162573361396789551e+03
5.500000000000000000e+01 5.808666666666666600e+01 7.975717703501383760e+00 1.595143540700280255e+03
5.600000000000000000e+01 6.981666666666666288e+01 2.239420270919799805e+01 4.478840541839599609e+03
5.700000000000000000e+01 4.691666666666666430e+01 1.686084349950154504e+01 3.372168699900317279e+03
5.800000000000000000e+01 3.385000000000000142e+01 9.199026902516683535e+00 1.839805380503331662e+03
5.900000000000000000e+01 6.224000000000000199e+01 2.020518811543782434e+01 4.041037623087576776e+03
6.000000000000000000e+01 6.461666666666666003e+01 1.717261826992034912e+01 3.434523653984069824e+03
6.100000000000000000e+01 6.282333333333333059e+01 1.790455766518910607e+01 3.580911533037831305e+03
6.200000000000000000e+01 6.786666666666667425e+01 2.017603600025177002e+01 4.035207200050354004e+03
6.300000000000000000e+01 6.848333333333333428e+01 2.710529430707295617e+01 5.421058861414586318e+03
6.400000000000000000e+01 6.940666666666666629e+01 2.995890172322590672e+01 5.991780344645169862e+03
6.500000000000000000e+01 7.062999999999999545e+01 2.979957652091979980e+01 5.959915304183959961e+03
6.600000000000000000e+01 4.680000000000000426e+01 1.150600814819335938e+01 2.301201629638671875e+03
6.700000000000000000e+01 6.920333333333333314e+01 2.746192161242167273e+01 5.492384322484340373e+03
6.800000000000000000e+01 6.692000000000000171e+01 1.634248288472493371e+01 3.268496576944994104e+03
6.900000000000000000e+01 7.058999999999998920e+01 1.573096903165181537e+01 3.146193806330369625e+03
7.000000000000000000e+01 6.681000000000000227e+01 1.564921037356058697e+01 3.129842074712110843e+03
7.100000000000000000e+01 6.372333333333333627e+01 1.781940861543019494e+01 3.563881723086049078e+03
7.200000000000000000e+01 5.799000000000000199e+01 9.851666291554769472e+00 1.970333258310947940e+03
7.300000000000000000e+01 6.181666666666666288e+01 2.123624642690022668e+01 4.247249285380054971e+03
7.400000000000000000e+01 1.000000000000000000e+00 1.488841422398885150e+01 2.977682844797775488e+03
7.500000000000000000e+01 4.459000000000000341e+01 1.463588976860046209e+01 2.927177953720092319e+03
7.600000000000000000e+01 5.685333333333333172e+01 1.116350376605987549e+01 2.232700753211975098e+03
7.700000000000000000e+01 6.934666666666666401e+01 2.130944693088531494e+01 4.261889386177062988e+03
7.800000000000000000e+01 6.688000000000000966e+01 2.204768208662668982e+01 4.409536417325331058e+03
7.900000000000000000e+01 6.728666666666666174e+01 1.414692751566568951e+01 2.829385503133134534e+03
8.000000000000000000e+01 6.910000000000000853e+01 1.829012966156005859e+01 3.658025932312011719e+03
8.100000000000000000e+01 7.253666666666667595e+01 2.854781043529510498e+01 5.709562087059020996e+03
8.200000000000000000e+01 6.620999999999999375e+01 2.526372782389323390e+01 5.052745564778647349e+03
8.300000000000000000e+01 5.192000000000000881e+01 1.287432595094045062e+01 2.574865190188091219e+03
8.400000000000000000e+01 6.546333333333332405e+01 1.598824524879455566e+01 3.197649049758911133e+03
8.500000000000000000e+01 6.622000000000001307e+01 1.993811297416687012e+01 3.987622594833374023e+03
8.600000000000000000e+01 6.874333333333332519e+01 1.811265075206756592e+01 3.622530150413513184e+03
8.700000000000000000e+01 4.389333333333333798e+01 1.452991886933644672e+01 2.905983773867294076e+03
8.800000000000000000e+01 6.237333333333333485e+01 1.703761267662048340e+01 3.407522535324096680e+03
8.900000000000000000e+01 6.689000000000000057e+01 1.602991660435994348e+01 3.205983320871996057e+03
9.000000000000000000e+01 6.603000000000000114e+01 2.223945422967274865e+01 4.447890845934556637e+03
9.100000000000000000e+01 6.448000000000000398e+01 1.955700965722401818e+01 3.911401931444814636e+03
9.200000000000000000e+01 6.635333333333332462e+01 2.187933373451232910e+01 4.375866746902465820e+03
9.300000000000000000e+01 6.570000000000000284e+01 1.747297549247741699e+01 3.494595098495483398e+03
9.400000000000000000e+01 5.826666666666667282e+01 1.457435806592305738e+01 2.914871613184615853e+03
9.500000000000000000e+01 3.949666666666666970e+01 1.189945840835571289e+01 2.379891681671142578e+03
9.600000000000000000e+01 6.379333333333332945e+01 2.288979975382487098e+01 4.577959950764970017e+03
9.700000000000000000e+01 6.215333333333333599e+01 1.006941306591033936e+01 2.013882613182067871e+03
9.800000000000000000e+01 6.365333333333332888e+01 1.695147748788197717e+01 3.390295497576404159e+03
9.900000000000000000e+01 7.026333333333333542e+01 1.899816397825876990e+01 3.799632795651742981e+03
1.000000000000000000e+02 6.747000000000001307e+01 2.255434207121531287e+01 4.510868414243056577e+03
1.010000000000000000e+02 6.030333333333333456e+01 1.380921693642934223e+01 2.761843387285871813e+03
1.020000000000000000e+02 6.904999999999999716e+01 2.171209379037221154e+01 4.342418758074450125e+03
1.030000000000000000e+02 6.878666666666667595e+01 2.139607934157053748e+01 4.279215868314097861e+03
1.040000000000000000e+02 1.000000000000000000e+00 1.582464420795440674e+01 3.164928841590881348e+03
1.050000000000000000e+02 1.000000000000000000e+00 9.008494178454080625e+00 1.801698835690821170e+03
1.060000000000000000e+02 4.706333333333333258e+01 1.339833907286326031e+01 2.679667814572649604e+03
1.070000000000000000e+02 6.016999999999999460e+01 1.968501873811085900e+01 3.937003747622182800e+03
1.080000000000000000e+02 1.000000000000000000e+00 1.237629822889963727e+01 2.475259645779927268e+03
1.090000000000000000e+02 6.998000000000000398e+01 2.513402787844340480e+01 5.026805575688681529e+03
1.100000000000000000e+02 6.549333333333332519e+01 1.632156924406687537e+01 3.264313848813367713e+03
1.110000000000000000e+02 7.021666666666668277e+01 2.238213833173115930e+01 4.476427666346237856e+03
1.120000000000000000e+02 6.693999999999999773e+01 1.546571993827819824e+01 3.093143987655639648e+03
1.130000000000000000e+02 5.644999999999999574e+01 1.109046165148417096e+01 2.218092330296837645e+03
1.140000000000000000e+02 6.421333333333332405e+01 1.787882554531097412e+01 3.575765109062194824e+03
1.150000000000000000e+02 6.382666666666667510e+01 1.459118978182474535e+01 2.918237956364944694e+03
1.160000000000000000e+02 6.829999999999999716e+01 1.830454746882120887e+01 3.660909493764231684e+03
1.170000000000000000e+02 6.828666666666666174e+01 2.768432919184367336e+01 5.536865838368740697e+03
1.180000000000000000e+02 4.942999999999999972e+01 9.476917306582132383e+00 1.895383461316431976e+03
1.190000000000000000e+02 6.905333333333334167e+01 2.267843612035115441e+01 4.535687224070235970e+03
1.200000000000000000e+02 1.000000000000000000e+00 1.795924250284830848e+01 3.591848500569651605e+03
1.210000000000000000e+02 6.780666666666667197e+01 2.454861267407735070e+01 4.909722534815470681e+03
1.220000000000000000e+02 6.553000000000000114e+01 2.013988860448201379e+01 4.027977720896414667e+03
1.230000000000000000e+02 5.278000000000000114e+01 2.055331218242645264e+01 4.110662436485290527e+03
1.240000000000000000e+02 6.718333333333333712e+01 1.410107823212941547e+01 2.820215646425886462e+03
1.250000000000000000e+02 6.504333333333333655e+01 1.531521280606587787e+01 3.063042561213181671e+03
1.260000000000000000e+02 5.145000000000000995e+01 1.818229440848032752e+01 3.636458881696055414e+03
1.270000000000000000e+02 6.198333333333332718e+01 2.031874179840087891e+01 4.063748359680175781e+03
1.280000000000000000e+02 6.806666666666666288e+01 1.883438162008921424e+01 3.766876324017831848e+03
1.290000000000000000e+02 7.056666666666667709e+01 2.603075333436330041e+01 5.206150666872656984e+03
