# Arch_Idx, NASWOT, logSynflow, PortionSkipped
0.000000000000000000e+00 7.407035522460937500e+02 2.189229198663330753e+05 3.333333333333333148e-01
1.000000000000000000e+00 7.836267089843750000e+02 1.385007336764989654e+06 1.000000000000000000e+00
2.000000000000000000e+00 7.426767578125000000e+02 6.665863555842296919e+05 0.000000000000000000e+00
3.000000000000000000e+00 6.261458740234375000e+02 1.387635987120399659e+04 5.000000000000000000e-01
4.000000000000000000e+00 7.515686035156250000e+02 2.685571084667498362e+05 1.000000000000000000e+00
5.000000000000000000e+00 7.828051757812500000e+02 5.685951934921853244e+05 1.000000000000000000e+00
6.000000000000000000e+00 7.574364013671875000e+02 1.020858385624591378e+06 0.000000000000000000e+00
7.000000000000000000e+00 7.243479003906250000e+02 3.872261241604802781e+05 1.500000000000000000e+00
8.000000000000000000e+00 7.578840942382812500e+02 5.688895480561178410e+05 1.000000000000000000e+00
9.000000000000000000e+00 6.245838012695312500e+02 9.217437001954550215e+04 2.000000000000000000e+00
1.000000000000000000e+01 6.312575683593750000e+02 2.645728597383295419e+05 0.000000000000000000e+00
1.100000000000000000e+01 7.851799926757812500e+02 1.382895011315626092e+06 0.000000000000000000e+00
1.200000000000000000e+01 -inf 1.074147222398243175e+05 0.000000000000000000e+00
1.300000000000000000e+01 7.599611816406250000e+02 4.364530035446817055e+05 0.000000000000000000e+00
1.400000000000000000e+01 7.882449951171875000e+02 4.008459043389151338e+05 0.000000000000000000e+00
1.500000000000000000e+01 6.022167968750000000e+02 4.860870308831495640e+04 6.666666666666666297e-01
1.600000000000000000e+01 7.595886840820312500e+02 9.643003616432213457e+05 1.000000000000000000e+00
1.700000000000000000e+01 7.801807861328125000e+02 3.693518760733493837e+05 1.000000000000000000e+00
1.800000000000000000e+01 7.755809326171875000e+02 9.139080529548235936e+05 1.000000000000000000e+00
1.900000000000000000e+01 7.754535522460937500e+02 4.143823508055300335e+05 0.000000000000000000e+00
2.000000000000000000e+01 7.179869384765625000e+02 3.869494877130590612e+05 2.000000000000000000e+00
2.100000000000000000e+01 7.877680053710937500e+02 6.401931758578645531e+05 0.000000000000000000e+00
2.200000000000000000e+01 7.527286376953125000e+02 4.207544462985618156e+05 0.000000000000000000e+00
2.300000000000000000e+01 7.765347900390625000e+02 1.036768448586544022e+06 0.000000000000000000e+00
2.400000000000000000e+01 7.075263061523437500e+02 1.228584044462309976e+05 6.666666666666666297e-01
2.500000000000000000e+01 6.226096191406250000e+02 1.366700502714399227e+04 0.000000000000000000e+00
2.600000000000000000e+01 8.060821533203125000e+02 4.727889408082210575e+05 0.000000000000000000e+00
2.700000000000000000e+01 7.835913696289062500e+02 2.199765287945480086e+05 1.000000000000000000e+00
2.800000000000000000e+01 7.115287475585937500e+02 1.510065947835828410e+05 6.666666666666666297e-01
2.900000000000000000e+01 7.153035888671875000e+02 3.094021772975884378e+05 0.000000000000000000e+00
3.000000000000000000e+01 7.259185791015625000e+02 2.969816763453542953e+05 1.000000000000000000e+00
3.100000000000000000e+01 7.560034179687500000e+02 4.238408394322299282e+05 0.000000000000000000e+00
3.200000000000000000e+01 7.598488159179687500e+02 5.717124762420022162e+05 3.333333333333333148e-01
3.300000000000000000e+01 7.867962646484375000e+02 6.583687786764559569e+05 0.000000000000000000e+00
3.400000000000000000e+01 7.623351440429687500e+02 4.089495622289052117e+05 0.000000000000000000e+00
3.500000000000000000e+01 7.613957519531250000e+02 4.088360705334567465e+05 0.000000000000000000e+00
3.600000000000000000e+01 7.753721923828125000e+02 9.106109781230598455e+05 0.000000000000000000e+00
3.700000000000000000e+01 7.217387084960937500e+02 1.418077401959527924e+05 3.333333333333333148e-01
3.800000000000000000e+01 7.858959350585937500e+02 1.143340456596334931e+06 0.000000000000000000e+00
3.900000000000000000e+01 7.597994384765625000e+02 2.075161430104110041e+05 6.666666666666666297e-01
4.000000000000000000e+01 6.122082519531250000e+02 1.185666412561545731e+05 1.000000000000000000e+00
4.100000000000000000e+01 7.872508544921875000e+02 1.956073155762094539e+05 0.000000000000000000e+00
4.200000000000000000e+01 7.631380615234375000e+02 9.663639094764898764e+05 2.000000000000000000e+00
4.300000000000000000e+01 7.604484252929687500e+02 6.430094046387552517e+05 0.000000000000000000e+00
4.400000000000000000e+01 7.005673828125000000e+02 1.213181934917655308e+05 1.000000000000000000e+00
4.500000000000000000e+01 7.217203369140625000e+02 1.082422296865070675e+05 3.333333333333333148e-01
4.600000000000000000e+01 7.547348632812500000e+02 7.315200739550336730e+05 0.000000000000000000e+00
4.700000000000000000e+01 7.147510375976562500e+02 3.877293487827669014e+05 1.000000000000000000e+00
4.800000000000000000e+01 7.075212402343750000e+02 1.227028915450770874e+05 1.000000000000000000e+00
4.900000000000000000e+01 7.549207763671875000e+02 4.227162551850213204e+05 5.000000000000000000e-01
5.000000000000000000e+01 8.201608886718750000e+02 1.285571662955965614e+06 1.000000000000000000e+00
5.100000000000000000e+01 7.180397949218750000e+02 1.868543763632557238e+05 1.000000000000000000e+00
5.200000000000000000e+01 7.840278320312500000e+02 1.024552588912238018e+06 2.000000000000000000e+00
5.300000000000000000e+01 6.019500122070312500e+02 5.756209238195424405e+04 3.333333333333333148e-01
