# Arch_Idx, NASWOT, logSynflow, PortionSkipped
0.000000000000000000e+00 6.430306599934896212e+02 6.852824097288829507e+05 3.333333333333333148e-01
1.000000000000000000e+00 6.890577189127603788e+02 4.164480564244830050e+06 1.000000000000000000e+00
2.000000000000000000e+00 6.409327392578125000e+02 1.939422185936873546e+06 0.000000000000000000e+00
3.000000000000000000e+00 5.234484049479166288e+02 5.216261362450964225e+04 5.000000000000000000e-01
4.000000000000000000e+00 6.554843343098958712e+02 9.365146445785121759e+05 1.000000000000000000e+00
5.000000000000000000e+00 6.821130371093750000e+02 1.874239505058973096e+06 1.000000000000000000e+00
6.000000000000000000e+00 6.655327148437500000e+02 3.087559876283741090e+06 0.000000000000000000e+00
7.000000000000000000e+00 6.219786376953125000e+02 1.131302203980850521e+06 1.500000000000000000e+00
8.000000000000000000e+00 6.577819417317708712e+02 1.831630652125918539e+06 1.000000000000000000e+00
9.000000000000000000e+00 5.292246093750000000e+02 2.291218215846348903e+05 2.000000000000000000e+00
1.000000000000000000e+01 5.392973429361978788e+02 5.962314929657886969e+05 0.000000000000000000e+00
1.100000000000000000e+01 6.916643066406250000e+02 4.160313849316579755e+06 0.000000000000000000e+00
1.200000000000000000e+01 9.999999999999999547e-07 2.426550606917116093e+05 0.000000000000000000e+00
1.300000000000000000e+01 6.673118489583333712e+02 1.324476442589555634e+06 0.000000000000000000e+00
1.400000000000000000e+01 6.921888834635416288e+02 1.175883908652869286e+06 0.000000000000000000e+00
1.500000000000000000e+01 5.002274678548176894e+02 1.308852582866979646e+05 6.666666666666666297e-01
1.600000000000000000e+01 6.658659261067708712e+02 2.942390866799363866e+06 1.000000000000000000e+00
1.700000000000000000e+01 6.810219726562500000e+02 1.247995203201396624e+06 1.000000000000000000e+00
1.800000000000000000e+01 6.792676595052083712e+02 2.887680912719379645e+06 1.000000000000000000e+00
1.900000000000000000e+01 6.824563802083333712e+02 1.186241846169392113e+06 0.000000000000000000e+00
2.000000000000000000e+01 6.203733113606771212e+02 1.127433752012360143e+06 2.000000000000000000e+00
2.100000000000000000e+01 6.965012410481771212e+02 2.137158089410040062e+06 0.000000000000000000e+00
2.200000000000000000e+01 6.514234212239583712e+02 1.282308490649774205e+06 0.000000000000000000e+00
2.300000000000000000e+01 6.804245402018228788e+02 2.988759221533079632e+06 0.000000000000000000e+00
2.400000000000000000e+01 6.027754516601562500e+02 3.938693641981249093e+05 6.666666666666666297e-01
2.500000000000000000e+01 5.278043212890625000e+02 5.191864899891376263e+04 0.000000000000000000e+00
2.600000000000000000e+01 7.141098632812500000e+02 1.584554252126794774e+06 0.000000000000000000e+00
2.700000000000000000e+01 6.899620971679687500e+02 7.157394116422372172e+05 1.000000000000000000e+00
2.800000000000000000e+01 6.124073079427083712e+02 4.667601388732641935e+05 6.666666666666666297e-01
2.900000000000000000e+01 6.190957845052083712e+02 9.531324899940802716e+05 0.000000000000000000e+00
3.000000000000000000e+01 6.335228881835937500e+02 9.380088893923809519e+05 1.000000000000000000e+00
3.100000000000000000e+01 6.565336100260416288e+02 1.280860842780492036e+06 0.000000000000000000e+00
3.200000000000000000e+01 6.643346354166666288e+02 1.822573768391440390e+06 3.333333333333333148e-01
3.300000000000000000e+01 6.965598958333333712e+02 2.158000367707089521e+06 0.000000000000000000e+00
3.400000000000000000e+01 6.668296712239583712e+02 1.264228211837528041e+06 0.000000000000000000e+00
3.500000000000000000e+01 6.681602986653646212e+02 1.259851705489166779e+06 0.000000000000000000e+00
3.600000000000000000e+01 6.770411783854166288e+02 2.883055369716751389e+06 0.000000000000000000e+00
3.700000000000000000e+01 6.229581502278646212e+02 4.607275404073853861e+05 3.333333333333333148e-01
3.800000000000000000e+01 6.948180338541666288e+02 3.490005812497742940e+06 0.000000000000000000e+00
3.900000000000000000e+01 6.628340454101562500e+02 6.702849835317473626e+05 6.666666666666666297e-01
4.000000000000000000e+01 5.097106424967448106e+02 2.883368324143902864e+05 1.000000000000000000e+00
4.100000000000000000e+01 6.961715087890625000e+02 5.913848786598711740e+05 0.000000000000000000e+00
4.200000000000000000e+01 6.672485758463541288e+02 2.978092500701063313e+06 2.000000000000000000e+00
4.300000000000000000e+01 6.653456420898437500e+02 1.916520526293371338e+06 0.000000000000000000e+00
4.400000000000000000e+01 6.008362630208333712e+02 3.930493295754737919e+05 1.000000000000000000e+00
4.500000000000000000e+01 6.208079833984375000e+02 3.774376668225127505e+05 3.333333333333333148e-01
4.600000000000000000e+01 6.556565144856771212e+02 2.102353201178494841e+06 0.000000000000000000e+00
4.700000000000000000e+01 6.195035196940103788e+02 1.131867824145454215e+06 1.000000000000000000e+00
4.800000000000000000e+01 6.088431599934896212e+02 3.905030114897383610e+05 1.000000000000000000e+00
4.900000000000000000e+01 6.606373697916666288e+02 1.276560749854945578e+06 5.000000000000000000e-01
5.000000000000000000e+01 7.288476969401041288e+02 4.288349408456766978e+06 1.000000000000000000e+00
5.100000000000000000e+01 6.153126220703125000e+02 5.511864391585534904e+05 1.000000000000000000e+00
5.200000000000000000e+01 6.885558675130208712e+02 3.199776947725197766e+06 2.000000000000000000e+00
5.300000000000000000e+01 5.015838826497395644e+02 1.507493026061541459e+05 3.333333333333333148e-01
5.400000000000000000e+01 6.831513264973958712e+02 2.939404282500245143e+06 5.000000000000000000e-01
5.500000000000000000e+01 5.273987019856771212e+02 5.202746419264045835e+04 6.666666666666666297e-01
5.600000000000000000e+01 6.885116373697916288e+02 2.399859757583705708e+06 2.000000000000000000e+00
5.700000000000000000e+01 6.067834472656250000e+02 2.293808752556476975e+05 0.000000000000000000e+00
5.800000000000000000e+01 5.063197123209635606e+02 1.300846654865025339e+05 3.333333333333333148e-01
5.900000000000000000e+01 6.815953369140625000e+02 9.909612009272524156e+05 0.000000000000000000e+00
6.000000000000000000e+01 6.964225667317708712e+02 1.215935636453934945e+06 5.000000000000000000e-01
6.100000000000000000e+01 6.576337483723958712e+02 1.793253156178597128e+06 1.000000000000000000e+00
6.200000000000000000e+01 6.925735880533853788e+02 1.599778793457152788e+06 0.000000000000000000e+00
6.300000000000000000e+01 7.082472941080728788e+02 3.760122446159086190e+06 0.000000000000000000e+00
6.400000000000000000e+01 7.230295206705728788e+02 4.534257010295455344e+06 0.000000000000000000e+00
6.500000000000000000e+01 7.251835734049478788e+02 5.350740166795005091e+06 0.000000000000000000e+00
6.600000000000000000e+01 5.123262227376302462e+02 5.245809661011624121e+04 0.000000000000000000e+00
6.700000000000000000e+01 7.244809570312500000e+02 5.263658172352210619e+06 0.000000000000000000e+00
6.800000000000000000e+01 6.711275431315103788e+02 1.263962065988950664e+06 5.000000000000000000e-01
6.900000000000000000e+01 6.666080525716146212e+02 2.915611438241732307e+06 2.000000000000000000e+00
7.000000000000000000e+01 6.354951171875000000e+02 1.112469856586779933e+06 1.000000000000000000e+00
7.100000000000000000e+01 6.566110229492187500e+02 1.278850753504307941e+06 0.000000000000000000e+00
7.200000000000000000e+01 5.263327026367187500e+02 1.112001656841612712e+05 6.666666666666666297e-01
7.300000000000000000e+01 6.565443929036458712e+02 2.933947626615278888e+06 0.000000000000000000e+00
7.400000000000000000e+01 4.635030008951823106e+02 3.026863279158543446e+05 0.000000000000000000e+00
7.500000000000000000e+01 5.986989135742187500e+02 2.783657174229953089e+05 1.000000000000000000e+00
7.600000000000000000e+01 6.079628702799478788e+02 3.923543319764519110e+05 6.666666666666666297e-01
7.700000000000000000e+01 6.941728922526041288e+02 3.326120952345243655e+06 0.000000000000000000e+00
7.800000000000000000e+01 7.093298339843750000e+02 1.112903142246250529e+06 0.000000000000000000e+00
7.900000000000000000e+01 6.250576171875000000e+02 1.012706597464767983e+06 1.000000000000000000e+00
8.000000000000000000e+01 6.965951334635416288e+02 2.133837914524708875e+06 1.000000000000000000e+00
8.100000000000000000e+01 7.244753011067708712e+02 7.545370261705856770e+06 2.000000000000000000e+00
8.200000000000000000e+01 7.124622192382812500e+02 5.919550074592625722e+06 0.000000000000000000e+00
8.300000000000000000e+01 6.024072265625000000e+02 3.923185608605156885e+05 5.000000000000000000e-01
8.400000000000000000e+01 6.596951700846353788e+02 1.279139217426406452e+06 0.000000000000000000e+00
8.500000000000000000e+01 6.853515625000000000e+02 2.242274866731523070e+06 0.000000000000000000e+00
8.600000000000000000e+01 6.919020385742187500e+02 1.880537736076946370e+06 5.000000000000000000e-01
8.700000000000000000e+01 5.973363647460937500e+02 4.058564616927681491e+05 0.000000000000000000e+00
8.800000000000000000e+01 6.725344645182291288e+02 7.157772346902554855e+05 0.000000000000000000e+00
8.900000000000000000e+01 6.620398152669271212e+02 1.273502393918683752e+06 1.000000000000000000e+00
9.000000000000000000e+01 7.003510538736978788e+02 2.131292953840684611e+06 1.000000000000000000e+00
9.100000000000000000e+01 6.926696370442708712e+02 1.212034409946068190e+06 0.000000000000000000e+00
9.200000000000000000e+01 6.857608235677083712e+02 2.265007353858807590e+06 0.000000000000000000e+00
9.300000000000000000e+01 6.611862182617187500e+02 1.128236873119468568e+06 0.000000000000000000e+00
9.400000000000000000e+01 6.480796508789062500e+02 9.381467803200387862e+05 3.333333333333333148e-01
9.500000000000000000e+01 5.029765421549479356e+02 5.199361153535573976e+04 1.000000000000000000e+00
9.600000000000000000e+01 6.775785522460937500e+02 1.189669018301910488e+06 0.000000000000000000e+00
9.700000000000000000e+01 6.344783935546875000e+02 3.541763073433469399e+05 5.000000000000000000e-01
9.800000000000000000e+01 6.527834065755208712e+02 7.492918519549457124e+05 0.000000000000000000e+00
