# ArchitectureIdx, Test-Accuracy, TrainingTime(xEpoch), TrainingTime(total)
0.000000000000000000e+00 2.742222221883137934e+01 4.381759231781959585e+01 8.763518463563910700e+03
1.000000000000000000e+00 4.426111112128364056e+01 6.582691933393478223e+01 1.316538386678694405e+04
2.000000000000000000e+00 2.744444444105360503e+01 6.878617072486876793e+01 1.375723414497372141e+04
3.000000000000000000e+00 2.873888888041178191e+01 2.527470627737045206e+01 5.054941255474099307e+03
4.000000000000000000e+00 3.181666666836208890e+01 3.934672671842574943e+01 7.869345343685164153e+03
5.000000000000000000e+00 3.831111110772027217e+01 6.045202524185180692e+01 1.209040504837032677e+04
6.000000000000000000e+00 3.935555554199218165e+01 6.847967683339118139e+01 1.369593536667819171e+04
7.000000000000000000e+00 3.983888888888888857e+01 5.282657399662335251e+01 1.056531479932466391e+04
8.000000000000000000e+00 4.123888886854383173e+01 4.978909402275085228e+01 9.957818804550186542e+03
9.000000000000000000e+00 2.867777777777777715e+01 3.968388983122507341e+01 7.936777966245027528e+03
1.000000000000000000e+01 8.333333332803514182e-01 6.212392500940958939e+01 1.242478500188190264e+04
1.100000000000000000e+01 3.028888889567057063e+01 7.561976063664754122e+01 1.512395212732953405e+04
1.200000000000000000e+01 8.333333331743876249e-01 4.040504180884361318e+01 8.081008361768725990e+03
1.300000000000000000e+01 3.820000000678168561e+01 6.146531394314766317e+01 1.229306278862957151e+04
1.400000000000000000e+01 3.892777777777777715e+01 5.970297897998491976e+01 1.194059579599703829e+04
1.500000000000000000e+01 1.344444444190131271e+01 2.808679353364308895e+01 5.617358706728608922e+03
1.600000000000000000e+01 4.290555555894639639e+01 4.620476216570536820e+01 9.240952433141104848e+03
1.700000000000000000e+01 3.649444443766275725e+01 5.606792172654470363e+01 1.121358434530894556e+04
1.800000000000000000e+01 3.799444444783528496e+01 7.038950674875576397e+01 1.407790134975112596e+04
1.900000000000000000e+01 3.012222222052680465e+01 6.922928092789649668e+01 1.384585618557931411e+04
2.000000000000000000e+01 3.421666667005750639e+01 6.074806896408398416e+01 1.214961379281676818e+04
2.100000000000000000e+01 4.255000000339084210e+01 5.620458252485591544e+01 1.124091650497115370e+04
2.200000000000000000e+01 3.582222221204969514e+01 6.238832417726516866e+01 1.247766483545307710e+04
2.300000000000000000e+01 3.581111111111111001e+01 7.187787077736854258e+01 1.437557415547372693e+04
2.400000000000000000e+01 2.736111110093858656e+01 3.368132431101799540e+01 6.736264862203629491e+03
2.500000000000000000e+01 2.871111110602484473e+01 1.908193055733044829e+01 3.816386111466089915e+03
2.600000000000000000e+01 3.846111107889810654e+01 6.902211174782117098e+01 1.380442234956426000e+04
2.700000000000000000e+01 3.615555553351508422e+01 5.860492467363675217e+01 1.172098493472731934e+04
2.800000000000000000e+01 2.770555555386013680e+01 3.855872427995999630e+01 7.711744855992025805e+03
2.900000000000000000e+01 3.047222222391764035e+01 5.196183575320244330e+01 1.039236715064048258e+04
3.000000000000000000e+01 3.872222222052680252e+01 3.359648841929435292e+01 6.719297683858883829e+03
3.100000000000000000e+01 3.634999999660915648e+01 5.419793482955297037e+01 1.083958696591060288e+04
3.200000000000000000e+01 4.202777774047851267e+01 4.292796318904558461e+01 8.585592637809135340e+03
3.300000000000000000e+01 4.208888888210720580e+01 6.135665967075030380e+01 1.227133193415002643e+04
